long,lat,coord_x,coord_y
-58.46397598,-34.6647151168, FRANCISCO," Gral. Av."""
-58.463929830699996,-34.6647151173, FRANCISCO," Gral. Av."""
-58.4638653525,-34.6647151179, FRANCISCO," Gral. Av."""
-58.4669304384,-34.66526213, FRANCISCO," Gral. Av."""
-58.4669032734,-34.6652845766, FRANCISCO," Gral. Av."""
-58.466885165200004,-34.6653350575, FRANCISCO," Gral. Av."""
-58.466799193199996,-34.6653256855, FRANCISCO," Gral. Av."""
-58.4667471565,-34.665417363, FRANCISCO," Gral. Av."""
-58.4667199877,-34.6653612046, FRANCISCO," Gral. Av."""
-58.466695008100004,-34.665454774299995, FRANCISCO," Gral. Av."""
-58.4666543121,-34.6654285439, FRANCISCO," Gral. Av."""
-58.46662267520001,-34.6654790252, FRANCISCO," Gral. Av."""
-58.46660674859999,-34.6655258101, FRANCISCO," Gral. Av."""
-58.4665886343,-34.6654509917, FRANCISCO," Gral. Av."""
-58.4665569972,-34.6654977771, FRANCISCO," Gral. Av."""
-58.466529833,-34.6655407763, FRANCISCO," Gral. Av."""
-58.4665026648,-34.6654977788, FRANCISCO," Gral. Av."""
-58.458968284300006,-34.6647444531, FRANCISCO," Gral. Av."""
-58.458939039700006,-34.664872996599996, FRANCISCO," Gral. Av."""
-58.45893511479999,-34.6648119694, FRANCISCO," Gral. Av."""
-58.458880674300005,-34.6648023224, FRANCISCO," Gral. Av."""
-58.4588788231,-34.6647251596, FRANCISCO," Gral. Av."""
-58.458775719399995,-34.6648119644, FRANCISCO," Gral. Av."""
-58.4634378075,-34.666777059699996, FRANCISCO," Gral. Av."""
-58.463386093000004,-34.666806446799995, FRANCISCO," Gral. Av."""
-58.4633700543,-34.6667269405, FRANCISCO," Gral. Av."""
-58.4633504153,-34.6666679868, FRANCISCO," Gral. Av."""
-58.4633236859,-34.6667622769, FRANCISCO," Gral. Av."""
-58.463307648100006,-34.666806447199995, FRANCISCO," Gral. Av."""
-58.464188443400005,-34.667261663299996, FRANCISCO," Gral. Av."""
-58.4641206889,-34.6671880171, FRANCISCO," Gral. Av."""
-58.4640724666,-34.6672704987, FRANCISCO," Gral. Av."""
-58.464033297200004,-34.667188018000004, FRANCISCO," Gral. Av."""
-58.4640047108,-34.6671055372, FRANCISCO," Gral. Av."""
-58.4639779831,-34.6672749168, FRANCISCO," Gral. Av."""
