long, lat, coord_x, coord_y
-58.46550683,-34.66658989, FRANCISCO, Gral."
-58.46549548,-34.66662541, FRANCISCO, Gral."
-58.46549101,-34.66668905, FRANCISCO, Gral."
-58.4654729,-34.66659179, FRANCISCO, Gral."
-58.46546831,-34.66656186, FRANCISCO, Gral."
-58.46546613,-34.66665723, FRANCISCO, Gral."
-58.46546155,-34.66661793, FRANCISCO, Gral."
-58.46546155,-34.66654879, FRANCISCO, Gral."
-58.46544344,-34.66665723, FRANCISCO, Gral."
-58.46543667,-34.66658241, FRANCISCO, Gral."
-58.46543438,-34.66663857, FRANCISCO, Gral."
-58.46542533,-34.66656556, FRANCISCO, Gral."
-58.46542533,-34.66653941, FRANCISCO, Gral."
-58.46541627,-34.66660116, FRANCISCO, Gral."
-58.46540951,-34.66659179, FRANCISCO, Gral."
-58.46540721,-34.66654311, FRANCISCO, Gral."
-58.46540045,-34.6666273, FRANCISCO, Gral."
-58.46540045,-34.66656934, FRANCISCO, Gral."
-58.46538463,-34.66660116, FRANCISCO, Gral."
-58.46538463,-34.66653752, FRANCISCO, Gral."
-58.46537099,-34.66655997, FRANCISCO, Gral."
-58.4653687,-34.66659179, FRANCISCO, Gral."
-58.46535746,-34.66653004, FRANCISCO, Gral."
-58.46535288,-34.66653383, FRANCISCO, Gral."
-58.46534612,-34.66655249, FRANCISCO, Gral."
-58.46533935,-34.66656745, FRANCISCO, Gral."
-58.46532571,-34.66652824, FRANCISCO, Gral."
-58.46532124,-34.66654879, FRANCISCO, Gral."
-58.46530084,-34.66653752, FRANCISCO, Gral."
-58.46838123,-34.66477025, FRANCISCO, Gral."
-58.46834501,-34.66482073, FRANCISCO, Gral."
-58.46832919,-34.6648768, FRANCISCO, Gral."
-58.46831326,-34.66476277, FRANCISCO, Gral."
-58.46823187,-34.66483011, FRANCISCO, Gral."
-58.46822499,-34.66469165, FRANCISCO, Gral."
-58.46819107,-34.66489177, FRANCISCO, Gral."
-58.46818877,-34.66476836, FRANCISCO, Gral."
-58.46813902,-34.66468048, FRANCISCO, Gral."
-58.46813226,-34.66481695, FRANCISCO, Gral."
-58.46812998,-34.66485436, FRANCISCO, Gral."
-58.46809375,-34.66477026, FRANCISCO, Gral."
-58.46807793,-34.66483012, FRANCISCO, Gral."
-58.46805305,-34.66470482, FRANCISCO, Gral."
-58.46800996,-34.66477027, FRANCISCO, Gral."
-58.46795344,-34.66466741, FRANCISCO, Gral."
-58.46789682,-34.66475341, FRANCISCO, Gral."
-58.46785841,-34.66465245, FRANCISCO, Gral."
-58.46784249,-34.66469545, FRANCISCO, Gral."
-58.46409817,-34.66471512, FRANCISCO, Gral."
-58.46404057,-34.66471322, FRANCISCO, Gral."
-58.46397598,-34.66471512, FRANCISCO, Gral."
-58.46392983,-34.66471512, FRANCISCO, Gral."
-58.46386535,-34.66471512, FRANCISCO, Gral."
-58.46693044,-34.66526213, FRANCISCO, Gral."
-58.46690327,-34.66528458, FRANCISCO, Gral."
-58.46688517,-34.66533506, FRANCISCO, Gral."
-58.46679919,-34.66532569, FRANCISCO, Gral."
-58.46674716,-34.66541736, FRANCISCO, Gral."
-58.46671999,-34.6653612, FRANCISCO, Gral."
-58.46669501,-34.66545477, FRANCISCO, Gral."
-58.46665431,-34.66542854, FRANCISCO, Gral."
-58.46662268,-34.66547903, FRANCISCO, Gral."
-58.46660675,-34.66552581, FRANCISCO, Gral."
-58.46658863,-34.66545099, FRANCISCO, Gral."
-58.466557,-34.66549778, FRANCISCO, Gral."
-58.46652983,-34.66554078, FRANCISCO, Gral."
-58.46650266,-34.66549778, FRANCISCO, Gral."
-58.45896828,-34.66474445, FRANCISCO, Gral."
-58.45893904,-34.664873, FRANCISCO, Gral."
-58.45893511,-34.66481197, FRANCISCO, Gral."
-58.45888067,-34.66480232, FRANCISCO, Gral."
-58.45887882,-34.66472516, FRANCISCO, Gral."
-58.45877572,-34.66481196, FRANCISCO, Gral."
-58.46343781,-34.66677706, FRANCISCO, Gral."
-58.46338609,-34.66680645, FRANCISCO, Gral."
-58.46337005,-34.66672694, FRANCISCO, Gral."
-58.46335042,-34.66666799, FRANCISCO, Gral."
-58.46332369,-34.66676228, FRANCISCO, Gral."
